"","d*","w1","w2","w3","w4","w5"
"DMU1",0.175887184873952,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU2",0.206451890756287,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU3",0.0337930672268934,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU4",0.0902945378151287,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU5",0.15354257142855,0.2,0.2,0.2,0.2,0.2
"DMU6",0.0637254201680515,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU7",0.120031302521011,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU8",0.27056211538462,0.269230769230769,0.0961538461538462,0.0961538461538461,0.269230769230769,0.269230769230769
"DMU9",0.249719672131123,0.229508196721311,0.229508196721312,0.0819672131147541,0.229508196721311,0.229508196721311
"DMU10",0.106162295081971,0.229508196721312,0.229508196721311,0.0819672131147541,0.229508196721311,0.229508196721311
"DMU11",0.0913313025209927,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU12",0.16082457142855,0.2,0.2,0.2,0.2,0.2
"DMU13",0.0993092436974632,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU14",0.149378361344559,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU15",0.1885342436975,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU16",0.18391953781511,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU17",0.452891730769202,0.269230769230769,0.0961538461538462,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU18",0.305346730769236,0.269230769230769,0.0961538461538461,0.0961538461538461,0.269230769230769,0.269230769230769
"DMU19",0.112572478991581,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU20",0.143807773109265,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU21",0.352564038461543,0.269230769230769,0.0961538461538462,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU22",0.178239672131123,0.229508196721311,0.229508196721311,0.0819672131147541,0.229508196721311,0.229508196721311
"DMU23",0.173534243697463,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU24",0.182187184873971,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU25",0.41189057142855,0.2,0.2,0.2,0.2,0.2
"DMU26",0.367414807692279,0.269230769230769,0.0961538461538462,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU27",0.2632165714286,0.2,0.2,0.2,0.2,0.2
"DMU28",0.268781153846159,0.269230769230769,0.0961538461538461,0.0961538461538461,0.269230769230769,0.269230769230769
"DMU29",0.37138657142855,0.2,0.2,0.2,0.2,0.2
"DMU30",0.45869857142855,0.2,0.2,0.2,0.2,0.2
"DMU31",0.337747307692279,0.269230769230769,0.0961538461538462,0.0961538461538461,0.269230769230769,0.269230769230769
"DMU32",0.14920673076923,0.269230769230769,0.0961538461538461,0.0961538461538461,0.269230769230769,0.269230769230769
"DMU33",0.163354831932757,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU34",0.452807884615356,0.269230769230769,0.0961538461538462,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU35",0.356109807692312,0.269230769230769,0.0961538461538462,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU36",0.361334423076962,0.269230769230769,0.0961538461538462,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU37",0.188440126050404,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU38",0.0971474789916176,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU39",0.211693067226912,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
